City Name,Population,Area (sq. km),Smart Infrastructure Score,Energy Consumption,Public Transport Usage,Air Quality Index,Education Index,Healthcare Index,Employment Rate,Smart Grid Adoption,Waste Management Score,Internet Speed (Mbps),Safety Index,Cost of Living Index
City70,8136480,874.31,73.41,700.49,72.92,39.98,13.42,26.12,75.54,14.6,98.72,768.95,27.95,83.98
City71,4235656,712.88,61.34,393.77,13.09,55.62,35.95,87.25,34.92,63.05,61.01,370.65,1.38,70.04
City72,2159859,236.2,78.36,333.72,25.73,25.43,6.63,87.45,40.62,3.34,93.6,616.49,53.44,57.6
City73,634253,654.7,14.03,933.7,60.23,50.52,33.2,2.83,13.41,99.28,37.94,341.22,50.08,64.38
City74,2723557,578.97,20.13,790.26,50.38,77.73,90.54,50.01,54.39,14.77,47.56,155.63,18.31,34.25
City75,7291900,54.13,55.93,954.8,19.68,25.39,49.22,69.4,61.73,67.37,7.24,268.1,75.31,88.05
City76,8796466,932.38,18.68,931.12,62.61,55.71,35.64,76.62,71.37,87.78,74.17,72.41,12.97,72.53
City77,9890155,123.28,41.95,411.1,58.04,86.01,42.25,86.32,78.5,13.16,27.04,202.55,62.29,72.75
City78,7137876,936.61,80.6,637.5,38.88,36.43,83.6,81.69,35.26,87.54,20.02,12.99,78.36,34.78
City79,365754,750.1,45.95,655.95,49.25,57.37,83.52,64.45,29.24,65.39,69.41,527.11,68.02,69.09
City80,2900733,457.74,64.03,823.43,61.88,76.36,69.25,36.05,66.13,62.87,54.33,167.34,4.61,110.93
City81,455937,81.15,97.92,317.91,18.29,81.68,57.79,10.25,18.0,89.28,23.0,706.17,23.61,103.33
City82,9757046,95.53,16.25,971.64,72.93,81.54,97.38,5.69,43.07,25.36,43.98,181.22,71.78,101.44
City83,2666356,481.18,79.97,447.7,79.0,46.9,6.97,98.02,15.67,21.74,0.7,81.75,69.25,58.32
City84,9259001,101.74,51.34,546.37,77.52,60.92,45.92,99.5,62.66,19.12,80.6,205.53,45.32,116.63
City85,168889,970.19,7.56,838.83,76.55,32.35,55.96,98.73,40.03,81.51,99.08,475.36,53.06,115.22
City86,1470131,19.87,27.21,411.22,14.71,88.87,66.41,33.23,6.61,12.37,86.28,790.24,44.65,113.35
City87,7919248,823.5,18.45,795.17,77.85,24.64,91.47,70.79,36.08,58.76,97.13,760.35,12.2,114.58
City88,9864986,127.0,32.99,726.57,17.51,83.24,37.53,5.63,26.73,17.72,39.48,209.57,54.48,107.95
City89,820784,980.29,81.31,153.34,6.56,80.2,71.52,19.34,57.08,56.1,76.29,202.85,31.1,103.86
City90,6715393,928.29,50.31,225.63,31.77,54.81,78.53,20.7,34.93,93.16,49.99,866.94,1.03,115.98
City91,2240652,125.34,97.38,322.34,74.78,54.13,78.61,10.43,36.55,10.77,8.69,79.26,40.61,33.65
City92,8387697,792.84,5.44,617.59,48.25,53.96,69.07,21.77,54.63,70.35,93.26,410.39,7.23,97.28
City93,3226542,727.43,83.02,537.08,51.96,62.8,96.87,67.55,82.44,74.16,77.75,126.03,39.21,119.45
City94,2306139,247.21,0.49,693.46,56.38,57.92,41.18,61.09,96.97,65.05,8.74,716.39,75.04,93.46
City95,5935928,673.78,72.66,335.47,36.38,29.7,19.61,94.49,99.63,91.13,53.01,259.13,78.23,95.05
City96,539104,931.15,85.69,580.41,54.03,36.78,26.47,12.76,46.99,95.07,63.71,986.5,0.79,34.36
City97,666249,812.3,44.98,630.53,61.55,77.84,62.81,61.04,60.09,51.14,5.74,649.08,7.4,94.84
City98,2342948,888.24,60.77,725.67,33.02,44.73,66.13,26.4,53.18,8.65,5.75,558.22,42.83,114.35
City99,3277750,424.85,69.16,717.28,45.8,27.88,62.16,65.46,79.62,77.12,40.08,549.52,74.72,83.44
City100,7901886,152.65,75.63,263.84,30.22,29.62,88.37,71.56,5.01,79.26,58.92,795.85,81.58,80.02
City101,9201243,929.3,46.83,489.42,13.36,11.64,73.04,14.45,87.85,70.35,26.71,804.23,25.84,44.99
City102,9897917,722.68,81.36,271.49,44.28,68.38,55.16,3.12,75.92,27.74,39.16,26.86,94.0,50.52
City103,6351243,975.61,47.63,590.26,65.03,73.13,2.97,80.34,47.26,55.91,16.91,174.74,60.07,86.39
City104,6848625,194.57,88.53,305.98,56.38,77.72,65.37,11.62,66.53,38.71,20.88,726.83,86.64,36.9
City105,7806403,552.63,96.6,982.73,5.95,77.74,66.98,44.85,75.58,82.77,35.2,242.77,26.5,47.84
City106,2522779,307.34,88.42,611.93,18.26,94.74,69.24,66.5,54.18,99.88,69.96,572.91,47.62,106.23
City107,6539843,313.27,17.91,614.99,10.46,59.19,21.15,90.44,81.16,5.82,63.82,26.86,14.3,83.62
City108,9183992,163.67,69.22,956.71,17.71,71.74,45.24,38.63,23.58,23.77,12.34,223.82,89.2,55.46
City109,7226891,938.72,40.38,531.67,43.09,47.41,23.17,71.89,73.95,64.17,49.85,195.1,7.03,80.58
City110,8312112,967.39,26.21,814.65,15.38,26.44,63.3,43.92,81.75,4.71,21.75,697.26,34.49,83.52
City111,1499203,182.71,1.02,488.1,65.59,53.8,45.32,0.24,6.61,26.19,98.23,715.06,86.89,97.68
City112,8465600,552.8,91.85,447.07,15.05,52.7,96.28,83.36,9.15,65.4,59.96,352.42,58.44,41.0
City113,8497662,534.17,18.64,489.49,6.42,48.79,75.19,31.14,74.19,4.65,94.32,653.63,97.05,73.77
City114,8412701,85.71,17.29,246.97,49.94,63.73,35.5,15.14,87.41,7.84,74.73,787.54,34.33,32.55
City115,2880751,79.49,19.35,928.11,32.9,75.11,86.99,73.26,83.78,77.22,95.91,381.31,0.14,61.09
City116,4336241,675.68,87.61,846.2,5.69,15.46,34.52,93.17,27.64,13.32,70.48,157.13,16.67,119.84
City117,1444662,797.71,74.8,369.25,71.54,57.27,79.94,53.83,94.36,70.66,30.78,470.42,24.2,72.35
City118,1854228,65.57,87.27,100.12,32.69,69.91,2.99,42.83,26.65,85.77,0.05,233.27,38.25,81.14
City119,9200092,27.61,20.07,648.93,64.32,66.32,58.55,40.14,81.89,24.31,74.99,566.21,40.11,114.27
City120,467398,590.8,63.28,130.64,61.28,64.84,54.29,82.68,13.21,69.26,15.25,227.87,28.42,55.53
City121,6139898,582.5,95.89,986.45,8.79,73.74,22.46,31.32,27.9,10.2,78.2,929.8,40.55,78.91
City122,1467053,694.91,29.93,200.75,47.16,37.28,3.57,74.34,69.34,84.22,91.49,529.15,48.45,98.8
City123,9671698,907.27,33.06,842.57,70.26,81.57,72.35,66.48,6.66,15.45,45.5,307.84,19.29,58.35
City124,6237643,803.09,17.66,191.03,29.77,76.15,68.96,92.55,62.89,90.84,30.86,814.62,13.52,64.14
City125,9877019,101.35,86.52,532.84,53.45,70.43,36.53,78.63,48.88,1.7,4.62,900.96,94.7,50.47
City126,8130307,122.75,95.35,139.77,25.44,79.38,62.59,30.71,80.85,96.59,41.45,603.21,56.19,105.21
City127,7221108,653.27,61.16,690.64,59.95,89.56,55.77,9.74,51.69,66.5,0.32,670.83,81.9,64.04
City128,9799478,105.84,39.78,821.82,70.44,56.3,26.98,93.37,7.51,43.07,12.78,914.24,78.03,72.75
City129,2766231,640.06,8.76,933.79,49.94,83.25,73.08,9.48,84.53,90.59,70.88,573.02,67.24,102.26
City130,6780361,893.62,14.53,663.07,10.51,69.29,42.43,45.37,74.7,35.59,71.24,614.25,91.55,61.3
City131,1285804,743.44,40.59,484.62,9.28,10.42,25.9,70.69,12.24,88.52,96.88,452.07,85.86,107.81
City132,4032986,412.1,48.64,146.6,21.62,88.37,25.63,49.58,73.98,71.93,67.01,814.74,31.77,92.91
City133,1552321,434.73,45.72,349.49,71.5,69.97,43.53,35.75,79.32,3.0,36.95,1.89,1.68,87.91
City134,3324576,735.66,98.24,698.01,46.86,51.63,77.53,76.23,65.62,29.18,58.48,411.22,87.07,89.53
City135,5646700,330.44,26.37,510.91,26.56,37.69,20.71,58.64,98.77,78.79,92.21,899.26,59.28,116.9
City136,2025067,850.26,21.91,971.47,23.43,84.44,47.23,77.3,61.11,30.76,35.21,87.63,50.26,37.9
City137,3643363,237.46,52.88,498.85,5.32,63.74,29.64,47.95,76.57,56.25,82.81,592.74,53.49,86.6
City138,5565975,50.38,46.34,521.83,38.81,44.03,13.34,29.33,81.3,58.23,19.53,766.96,5.54,70.34
City139,7473405,539.66,34.44,852.53,55.0,59.53,57.4,35.26,7.57,53.58,96.69,282.46,9.45,86.17
City140,5258762,468.89,81.93,223.71,21.99,63.34,20.34,37.55,38.07,16.89,71.05,134.05,85.25,81.34
City141,282230,420.33,91.31,483.49,26.08,67.46,58.42,86.44,3.41,52.12,32.01,175.48,42.63,99.2
City142,8732355,835.03,88.08,366.52,42.53,55.31,73.47,96.21,80.21,71.88,63.35,719.94,80.02,43.97
City143,8221027,359.67,3.42,573.09,50.84,46.66,54.31,62.34,59.59,0.21,51.57,529.66,95.87,78.79
City144,1749070,86.74,91.71,164.73,77.78,52.33,70.09,85.39,18.94,59.16,30.59,200.5,0.69,36.27
City145,3366069,529.81,27.11,189.37,25.19,52.58,59.01,14.64,26.82,77.04,17.41,131.4,68.06,65.88
City146,7777512,850.23,29.62,104.61,65.55,82.9,61.38,10.55,30.22,75.19,77.58,315.14,83.56,76.54
City147,4333503,386.79,49.22,953.71,71.36,69.35,61.23,72.84,86.17,74.46,45.48,646.19,30.23,36.72
City148,4468533,132.57,37.18,976.69,71.69,51.13,13.09,19.07,20.28,32.3,29.39,968.46,42.27,65.93
City149,9992855,219.15,3.6,117.96,9.7,79.47,91.67,62.21,76.13,21.85,90.24,837.05,71.66,97.16
City150,2854456,156.15,20.72,675.77,70.85,92.3,72.19,32.59,39.94,34.16,54.97,68.77,81.36,40.77
City151,7865394,600.4,56.33,746.53,31.66,46.94,4.52,9.74,35.08,74.09,32.09,872.56,78.92,84.77
City152,5039465,604.62,0.65,427.97,12.41,71.16,51.85,12.55,51.14,36.22,61.63,375.7,27.55,36.43
City153,8061604,312.48,47.0,300.41,25.37,16.69,44.88,17.01,37.32,65.34,29.82,79.33,80.93,69.39
City154,3956916,40.68,2.59,804.19,49.29,49.79,58.06,39.5,95.19,90.8,17.04,99.54,73.45,99.64
City155,8250948,508.12,33.65,564.56,12.31,97.32,59.48,59.76,54.74,73.11,85.43,223.1,11.92,74.22
City156,6282563,601.98,5.88,822.32,57.96,85.84,40.24,2.09,50.49,49.91,84.86,685.03,78.92,42.32
City157,6932105,442.74,90.5,815.04,69.09,47.54,80.81,51.33,97.0,2.75,60.62,807.06,8.55,52.44
City158,4483577,503.46,69.31,668.82,42.87,58.76,22.87,92.71,41.89,68.11,80.1,166.66,21.62,75.83
City159,3802451,325.01,14.54,782.94,68.3,58.0,78.48,27.01,29.13,13.38,1.43,237.47,86.53,83.15
City160,4853189,771.89,80.59,921.58,41.48,33.11,54.27,8.27,24.38,78.13,5.04,779.87,64.7,116.69
City161,7517376,947.9,30.04,446.2,39.91,75.62,36.1,82.33,66.33,80.7,34.17,83.57,55.86,73.42
City162,4472886,425.84,57.54,269.65,55.06,39.13,77.83,98.01,0.68,21.64,49.29,996.0,80.59,84.81
City163,3573116,307.53,57.97,337.33,57.97,50.53,43.72,14.64,87.92,29.72,47.32,562.16,87.33,74.29
City164,4261589,23.73,85.68,685.36,74.12,95.29,62.23,81.72,81.29,78.01,72.72,795.92,77.02,86.83
City165,2362783,155.38,46.8,497.25,17.36,35.75,51.2,86.95,36.51,40.7,78.61,101.81,30.29,49.21
City166,1750978,111.12,8.71,831.57,33.32,97.3,94.29,49.85,9.85,64.42,1.63,415.5,70.81,92.71
City167,7565061,516.26,47.64,484.94,69.89,98.53,3.64,1.21,46.61,37.64,65.58,928.6,80.57,119.41
City168,5068427,341.33,53.74,310.79,12.09,76.36,36.08,33.04,44.14,44.74,48.1,173.55,78.49,59.06
City169,8207153,873.41,94.48,896.3,26.07,43.31,17.07,70.94,67.68,75.06,71.6,98.94,24.08,56.21
City170,8837880,760.24,89.02,167.67,63.8,51.97,32.91,21.75,23.23,96.3,25.03,145.52,0.96,73.06
City171,3236620,105.38,69.96,158.2,34.08,65.62,39.88,65.61,57.72,51.91,85.53,481.54,36.64,62.38
City172,8002103,57.67,22.91,604.28,74.01,10.0,14.41,87.96,16.32,94.82,6.53,407.7,57.79,48.55
City173,2764527,246.23,10.61,440.62,29.1,47.98,54.79,5.93,27.62,24.69,42.31,730.82,72.37,53.68
City174,7634030,593.29,88.69,669.73,33.98,18.88,37.67,61.36,60.51,85.71,23.07,514.07,7.9,37.18
City175,1676414,647.11,6.35,476.87,70.29,65.57,7.44,3.56,35.44,76.56,74.07,546.69,47.7,63.01
City176,5220601,646.33,50.06,114.02,26.98,13.74,91.3,94.76,59.55,55.73,12.23,308.12,26.2,62.27
City177,1755908,72.07,11.23,420.2,54.41,74.14,30.79,23.48,6.61,59.2,96.67,193.21,87.53,37.67
City178,2454014,484.28,15.41,750.74,72.58,16.21,62.49,80.52,32.57,38.7,74.5,865.06,99.83,58.79
City179,6817647,673.07,37.23,161.95,47.86,52.25,63.68,46.15,7.9,61.01,9.35,976.98,89.7,107.18
City180,1024024,748.2,4.52,169.89,45.15,19.04,87.02,24.06,67.6,38.82,61.55,677.57,73.89,117.81
City181,8118628,334.29,11.08,410.68,9.33,21.48,51.61,23.14,0.67,65.63,91.84,893.97,41.25,73.85
City182,2306947,625.64,41.67,866.9,5.23,41.29,18.16,92.41,59.81,81.35,37.76,665.84,52.52,62.85
City183,7578230,434.03,46.16,426.16,69.0,89.12,65.85,70.77,11.23,74.78,2.46,30.62,98.87,51.27
City184,5023971,211.27,52.02,883.1,32.59,16.59,47.57,84.66,26.78,33.79,30.99,694.0,49.61,70.2
City185,504706,343.41,0.62,540.93,65.94,94.62,7.95,33.22,64.46,87.83,56.75,642.5,57.39,90.33
City186,3654864,911.64,8.4,806.55,39.16,13.45,32.28,47.89,5.83,6.74,46.46,104.67,23.02,30.03
City187,1768695,132.21,19.48,214.37,15.6,32.28,99.6,77.65,62.89,60.9,47.91,487.52,91.61,70.17
City188,8136763,303.39,99.29,540.26,8.32,29.43,49.57,60.04,87.56,9.11,60.52,941.66,23.4,72.28
City189,8573833,820.23,24.9,409.67,70.74,25.34,81.09,56.99,23.11,51.98,5.33,753.7,73.56,53.4
City190,6878069,199.84,18.89,509.09,65.93,36.79,7.77,54.35,42.36,75.99,86.48,990.05,50.67,59.57
City191,2638615,984.92,43.94,318.47,44.85,92.62,57.45,53.51,85.23,3.26,5.26,296.53,36.11,118.33
City192,44725,46.05,83.1,200.78,79.21,91.48,34.23,18.19,65.94,13.56,13.26,848.18,56.8,45.08
City193,1160085,539.15,60.82,957.59,45.87,45.37,99.82,0.32,70.84,94.42,60.82,965.65,57.17,80.89
City194,1324167,552.06,32.08,852.43,79.51,77.92,43.16,74.48,84.64,21.2,81.74,42.87,83.45,63.1
City195,8956813,673.22,23.93,501.46,41.77,62.11,15.75,74.83,50.65,95.37,69.83,713.91,1.79,109.38
City196,7062315,47.77,94.4,751.36,67.02,82.02,99.58,53.11,69.29,50.5,46.0,544.67,86.12,97.11
City197,9760001,458.78,29.3,331.05,53.75,62.27,60.77,69.96,50.51,62.28,45.31,215.66,2.84,81.03
City198,4136448,347.56,67.52,341.69,23.27,15.79,99.24,5.14,85.15,52.12,57.96,664.1,50.7,107.24
City199,2939698,162.84,11.75,672.74,31.37,87.94,23.66,73.11,22.37,17.58,91.14,582.59,36.87,81.69
City200,7574727,267.65,66.89,882.21,70.41,82.75,39.88,57.02,65.38,67.02,44.31,12.92,74.55,31.89
City201,5174484,221.51,34.94,907.72,54.3,28.77,75.35,42.96,20.45,51.05,63.97,422.21,45.78,30.7
City202,4912771,424.9,4.59,705.08,48.67,94.0,16.63,11.04,43.81,28.0,89.82,923.58,94.72,65.92
City203,1146621,926.18,42.37,463.36,36.65,79.85,93.47,6.83,82.41,65.51,76.12,166.33,47.72,98.06
City204,9238693,852.22,26.96,503.61,76.68,12.02,44.27,25.95,10.96,45.5,4.19,172.46,99.03,44.04
City205,1002647,616.66,84.14,144.07,27.64,76.78,80.07,8.61,98.68,82.58,21.44,591.47,12.26,107.23
City206,8718423,197.07,92.97,696.23,39.35,10.35,43.21,97.09,9.46,83.94,42.77,494.56,48.4,82.87
City207,3580962,289.3,67.84,773.05,38.79,87.92,4.3,52.69,46.75,48.48,66.53,71.48,40.24,110.92
City208,1280639,531.01,28.17,870.04,68.85,57.94,72.06,91.62,55.29,52.28,94.95,94.85,94.2,84.89
City209,4337776,689.56,33.13,592.98,73.18,23.86,42.02,17.37,96.99,97.52,65.04,607.67,27.51,108.18
City210,1774422,600.16,34.03,493.12,48.89,85.04,71.3,35.09,66.48,65.18,92.98,937.5,85.37,44.95
City211,6468424,583.02,80.63,534.28,61.48,89.72,70.89,60.23,14.7,79.38,24.59,666.67,43.99,76.31
City212,8742010,123.35,2.16,773.96,8.1,47.3,25.33,49.67,51.31,42.11,96.95,504.97,32.98,102.02
City213,8104001,560.67,68.94,471.94,9.3,89.4,0.84,11.83,88.21,43.72,87.31,362.11,54.08,88.98
City214,6275517,678.13,68.76,105.49,30.4,71.65,61.61,61.01,46.49,87.18,92.34,210.27,24.16,63.94
City215,822291,589.95,91.66,627.23,38.04,88.05,23.6,98.54,16.75,36.98,42.35,530.45,42.12,92.7
City216,2024002,950.54,25.48,671.1,34.93,95.79,29.67,18.25,21.55,93.48,45.98,71.48,44.46,85.2
City217,1276839,291.93,55.0,819.0,41.55,28.96,27.47,3.96,81.14,19.58,13.71,82.96,33.54,71.92
City218,3884775,876.72,18.37,850.74,58.28,27.08,25.61,41.33,43.19,21.47,25.63,883.26,16.36,94.13
City219,6681315,68.05,16.58,874.26,10.25,19.58,32.44,67.52,20.36,7.92,47.15,934.41,96.21,69.47
City220,1149837,283.04,79.01,597.77,19.04,18.58,89.0,11.05,86.33,41.21,84.94,852.57,75.98,115.01
City221,8046588,584.94,54.94,133.54,5.18,99.58,98.21,35.6,44.86,78.67,23.26,726.43,70.87,50.26
City222,6888611,66.75,76.24,796.32,63.63,85.88,60.67,94.86,48.88,23.5,92.33,454.87,76.17,51.07
City223,4702976,703.74,18.69,370.75,79.7,78.52,28.98,18.18,82.87,63.45,95.53,287.37,81.09,105.89
City224,2317049,462.65,8.65,709.52,67.06,44.16,21.02,57.16,65.06,64.35,81.15,216.83,91.59,78.02
City225,8655769,588.78,42.84,365.23,23.81,39.34,32.85,44.23,18.92,81.73,59.25,164.75,86.79,38.01
City226,4839551,855.2,87.14,125.28,22.39,87.72,44.58,73.18,86.61,92.15,32.29,169.6,1.61,89.48
City227,6343438,179.06,25.88,211.45,55.94,16.08,89.94,35.42,75.91,22.59,50.54,884.12,99.17,68.45
City228,9600620,250.79,25.24,909.76,8.39,59.73,41.5,64.58,14.2,62.15,85.3,198.46,50.69,37.18
City229,2886820,225.56,19.96,153.64,17.47,64.24,6.62,69.33,38.6,95.67,31.87,564.8,28.81,68.98
City230,5441874,345.67,86.39,240.12,34.65,99.41,28.28,75.91,26.96,34.69,56.67,929.21,4.18,42.99
City231,7140001,293.08,31.5,863.46,13.73,50.9,87.46,57.3,41.16,41.08,47.86,557.36,36.57,96.39
City232,1196976,502.65,30.42,654.54,46.75,40.71,45.18,87.23,20.11,31.55,97.27,287.01,38.96,92.96
City233,9710378,287.81,99.09,431.8,29.79,32.55,85.73,91.57,72.8,93.89,82.04,162.66,2.48,69.17
